DRUGBANK,name,groups,DRUGS PRODUCT DATABASE (DPD),PUBCHEM SUBSTANCE,KEGG DRUG,PHARMGKB,UNIPROTKB,THERAPEUTIC TARGETS DATABASE,WIKIPEDIA,CHEMBL,RXCUI,GENBANK,KEGG COMPOUND,CHEBI,PUBCHEM COMPOUND,CHEMSPIDER,BINDINGDB,IUPHAR,GUIDE TO PHARMACOLOGY,PDB,ZINC
DB00025,"Antihemophilic factor, human recombinant","approved,investigational",22826,46506209,,PA164750168,P00451,,Antihemophilic_Factor,CHEMBL2108175,1300486,M14113,,,,,,,,,
DB00026,Anakinra,approved,12604,46507944,D02934,PA10799,P18510,DAP000095,Anakinra,CHEMBL1201570,72435,M55646,,,,,,,,,
DB00027,Gramicidin D,approved,8523,46507412,D04369,PA449808,,DAP001327,Gramicidin_D,CHEMBL557217,5011,,,,45267103,24623445,,,,,
DB00028,Human immunoglobulin G,"approved,investigational",22953,46508774,,PA164754884,P01877,,,,1426680,J00221,,,,,,,,,
DB00029,Anistreplase,approved,1199,46504487,,PA164769075,P00750,DAP001197,Anistreplase,CHEMBL2108250,40028,L00153,,,,,,,,,
DB00030,Insulin human,"approved,investigational",7671,46506231,D03230,PA164744571,Q8HXV2,DAP000802,Insulin,,253182,AY137503,C00723,5931,,,,,,,
DB00031,Tenecteplase,approved,12468,46508657,D06070,PA164776757,P00750,DAP000204,Tenecteplase,CHEMBL2108791,259280,L00153,,,,,,,,,
DB00032,Menotropins,approved,7369,46504503,,PA164749406,P01229,DAP001027,Menotropins,CHEMBL2108427,,X00264,,,,,,,,,
DB00033,Interferon gamma-1b,"approved,investigational",,46507194,,PA164746386,P01579,DAP001286,Interferon_gamma-1b,CHEMBL1201564,5882,X13274,,,,,,,,,
DB00034,"Interferon alfa-2a, Recombinant","approved,investigational",1746,46506712,,PA164779048,P01563,DAP000801,"Interferon_Alfa-2a,_Recombinant",,5879,J00207,,,,,,,,,
DB00035,Desmopressin,approved,20181,,D00291,PA449237,,DNC000526,Desmopressin,CHEMBL1429,3251,,C06944,4450,,4470602,50205308,,,,
DB00036,Coagulation factor VIIa Recombinant Human,approved,13301,46507544,D00172,PA164748389,P08709,,Factor_VII,,253149,M13232,C03378,,,,,,,,
DB00038,Oprelvekin,"approved,investigational",,46506470,,PA164747991,P20809,DAP001287,Oprelvekin,CHEMBL1201573,1311380,M57765,,,,,,,,,
DB00039,Palifermin,approved,17147,46506691,,PA164744014,P21781,DAP001026,Palifermin,CHEMBL1201821,196319,M60828,,,,,,,,,
DB00040,Glucagon,approved,11363,46504732,D00116,PA164779052,Q8MJ25,DAP001037,Glucagon_recombinant,CHEMBL266481,261716,AF529185,C01501,,,,,,,,
DB00041,Aldesleukin,approved,278,46508054,,PA448081,P60569,DAP001099,Aldesleukin,CHEMBL1201438,70223,M11144,,,,,,,,,
DB00042,Botulinum Toxin Type B,"approved,investigational",12854,46504750,D02735,PA164747061,P10844,DAP001272,Botulinum_toxin,CHEMBL1201569,860178,M81186,,,,,,,,,
DB00043,Omalizumab,"approved,investigational",13365,46507002,,PA164752253,P01857,DAP000387,Omalizumab,CHEMBL1201589,302379,J00228,,,,,,,,,
DB00044,Lutropin alfa,approved,7347,46507624,,PA164750539,P01229,DAP001103,Lutropin_alfa,CHEMBL1201419,388084,X00264,,,,,,,,,
DB00046,Insulin lispro,approved,12028,46507498,D04477,PA164747059,,DNC000800,Insulin_lispro,CHEMBL1201538,314684,,,,,,,,,,
DB00047,Insulin glargine,approved,12724,46507981,D03250,PA449992,,DAP001088,Insulin_glargine,CHEMBL1201497,274783,,,,,,,,,,
DB00048,Collagenase clostridium histolyticum,"approved,investigational",2150,46506485,,PA449107,,DAP000965,Collagenase,,58939,,C00816,,,,,,,,
DB00049,Rasburicase,"approved,investigational",13268,46504490,,PA10176,Q00511,,Rasburicase,CHEMBL1201594,283821,X61766,,,,,,,,,
DB00050,Cetrorelix,"approved,investigational",13224,46505494,D07665,PA164764506,,DAP000096,Cetrorelix,CHEMBL1200490,68147,,,59224,25074887,10482082,50369965,,,,
DB00051,Adalimumab,approved,13356,46504982,D02597,PA10004,P01857,DAP000392,Adalimumab,CHEMBL1201580,327361,J00228,,,,,,,,,
DB00052,Somatotropin,"approved,investigational",7364,46506010,,PA451446,P58756,DAP001054,Somatropin_recombinant,CHEMBL1201621,314845,AF374232,,,,,,,,,
DB00053,Imiglucerase,approved,11365,46508744,D02810,PA164742934,P04062,,Imiglucerase,CHEMBL1201632,84959,M16328,,,,,,,,,
DB00054,Abciximab,approved,61,46505910,D02778,PA448006,,DAP000473,Abciximab,CHEMBL1201584,83929,,,,,,,,,,
DB00056,Gemtuzumab ozogamicin,"approved,investigational",23390,46505767,,PA164749431,,DAP000390,Gemtuzumab_ozogamicin,CHEMBL1201506,1294580,,,,,,,,,,
DB00058,Alpha-1-proteinase inhibitor,approved,7762,46506364,,PA10308,P01009,DAP001102,Alpha_1-antitrypsin,,535,K01396,,,,,,,,,
DB00059,Pegaspargase,"approved,investigational",11706,46505366,,PA164760860,P37595,,Pegaspargase,CHEMBL2108546,34132,U00096,,,,,,,,,
DB00060,Interferon beta-1a,"approved,investigational",11746,46504899,,PA450037,P01574,DAP001282,Interferon_beta-1a,CHEMBL1201562,75917,V00534,,,,,,,,,
DB00061,Pegademase,approved,,46508490,,PA450831,P56658,,Pegademase_bovine,CHEMBL1201514,59768,AF280603,,,,,,,,,
DB00062,Albumin human,approved,3275,46509098,,PA164743293,P02768,,Serum_albumin,CHEMBL1201451,828529,M12523,,,,,,,,,
DB00063,Eptifibatide,"approved,investigational",11891,46505459,,PA449483,,DAP000285,Eptifibatide,CHEMBL1174,75635,,,,,,,,,,
DB00065,Infliximab,approved,12094,46505602,,PA452639,P01857,DAP000107,Infliximab,CHEMBL1201581,1790539,J00228,,,,,,,,,
DB00066,Follitropin,approved,7649,46508818,,PA449693,P01225,DAP001028,Follicle-stimulating_hormone,CHEMBL1201692,227518,M16647,,,,,,,,,
DB00067,Vasopressin,approved,7387,46505933,D00101,PA451858,,DAP000018,Vasopressin,CHEMBL373742,11149,,C00840,,,10152658,,,,,
DB00068,Interferon beta-1b,approved,172,46504458,D00746,PA450039,P01574,DAP001283,Interferon_beta-1b,CHEMBL1201563,72258,V00534,C07901,,,,,,,,
DB00069,Interferon alfacon-1,"approved,investigational",11856,46505985,,PA164749376,,DAP001284,Interferon_alfacon-1,CHEMBL1201557,59744,J00207,,,,,,,,,
DB00070,Hyaluronidase (ovine),"approved,investigational",6039,46505087,,PA164745713,P38567,,Hyaluronidase,CHEMBL1201636,486164,L13781,,,,,,,,,
DB00071,Insulin pork,approved,7326,46508925,,PA164781053,Q8HXV2,DAP001089,Insulin,,221109,AY137503,,,,,,,,,
DB00072,Trastuzumab,"approved,investigational",11905,46507516,D03257,PA451743,P01857,DAP000391,Trastuzumab,CHEMBL1201585,224905,J00228,,,,,,,,,
DB00073,Rituximab,approved,11982,46505820,,PA451261,P01857,DAP000382,Rituximab,CHEMBL1201576,121191,J00228,,,,,,,,,
DB00074,Basiliximab,"approved,investigational",12027,46505169,,PA164747126,P01857,DAP000388,Basiliximab,CHEMBL1201439,196102,J00228,,,,,,,,,
DB00075,Muromonab,"approved,investigational",7680,46507837,D05092,PA164743097,,DAP001301,Muromonab,CHEMBL1201608,42405,,,,,,,,,,
DB00076,Digoxin Immune Fab (Ovine),approved,7676,46506432,,PA164769030,,,Digoxin_Immune_Fab,,1745257,,,,,,,,,,
DB00078,Ibritumomab tiuxetan,"approved,investigational",12697,46506112,,PA164781375,P01865,DAP000383,Ibritumomab,,262323,J00470,,,,,,,,,
DB00080,Daptomycin,"approved,investigational",20161,46504551,D01080,PA164768820,,DAP001328,Daptomycin,CHEMBL387675,22299,,C12013,600103,16134395,10200644,,,,,
DB00081,Tositumomab,"approved,investigational",16096,46506662,,PA164748364,P01857,DAP000384,Tositumomab,CHEMBL1201604,263010,J00228,,,,,,,,,
DB00082,Pegvisomant,approved,16581,46505507,,PA164749630,P58756,DAP000286,Pegvisomant,CHEMBL1201515,278739,AF374232,,,,,,,,,
DB00083,Botulinum toxin type A,"approved,investigational",22972,46505347,D00783,PA164754825,P10845,DAP001298,Botox,,1000104,X52066,C07946,,,,,,,,
DB00085,Pancrelipase,"approved,investigational",9754,46504728,D05349,PA448428,P04746,,Pancrelipase,CHEMBL2108074,235379,M18785,,,,,,,,,
DB00086,Streptokinase,"approved,investigational",5991,46505625,,PA164754919,P00779,DAP001198,Streptokinase,CHEMBL2108147,10106,K02986,,,,,,,,,
DB00087,Alemtuzumab,"approved,investigational",12491,46507379,,PA164783958,,DAP000385,Alemtuzumab,CHEMBL1201587,117055,,,,,,,,,,
DB00088,Alglucerase,"approved,investigational",,46507500,,PA164748093,P04062,,Alglucerase,CHEMBL1201633,46049,M16328,,,,,,,,,
DB00089,Capromab pendetide,approved,20500,46506263,,PA164745489,,DAP001049,Indium_(111In)_capromab_pendetide,CHEMBL2108285,136300,,,,,,,,,,
DB00090,Laronidase,approved,13106,46505612,,PA164776670,P35475,,Laronidase,CHEMBL1201595,392509,M74715,,,,,,,,,
DB00091,Cyclosporine,"approved,investigational,vet_approved",13144,46508198,D00184,PA449167,,DNC001177,Cyclosporine,CHEMBL160,3008,,C05086,4031,5284373,4447449,50022815,,,,
DB00094,Urofollitropin,"approved,vet_approved",306,46507385,,PA451835,P01225,DAP001029,Urofollitropin,CHEMBL1201520,134404,M16647,,,,,,,,,
DB00095,Efalizumab,"approved,investigational",13093,46505252,,PA164748817,,DAP001095,Efalizumab,CHEMBL1201575,356988,,,,,,,,,,
DB00097,Choriogonadotropin alfa,approved,14798,46506863,,PA164783947,P01233,DAP001030,Choriogonadotropin_alfa,CHEMBL1201464,283550,J00117,,,,,,,,,
DB00098,Antithymocyte immunoglobulin (rabbit),approved,12118,46506920,,PA164743704,,DAP001300,Anti-thymocyte_globulin,,107044,,,,,,,,,,
DB00099,Filgrastim,approved,23013,46505833,D03235,PA449626,P09919,DAP000113,Filgrastim,CHEMBL1201567,1433764,X03438,,,,,,,,,
DB00100,Coagulation Factor IX (Recombinant),"approved,investigational",22522,46508858,,PA164744952,P00740,DAP000964,Factor_IX,,1300488,K02402,C03101,,,,,,,,
DB00102,Becaplermin,"approved,investigational",11832,46508246,,PA164749511,P01127,DAP000028,Becaplermin,CHEMBL1201556,115238,K01401,,,,,,,,,
DB00103,Agalsidase beta,"approved,investigational",13300,46508538,,PA164746527,P06280,,Agalsidase_beta,CHEMBL2108888,338817,X14448,,,,,,,,,
DB00104,Octreotide,"approved,investigational",1255,46504600,D00442,PA450678,,DAP000397,Octreotide,CHEMBL1680,7617,,C07306,,448601,395352,50272772,,,,
DB00105,Interferon alfa-2b,approved,1751,46507075,,PA164783990,P01563,DAP001285,Interferon_alfa-2b,,5880,,,,,,,,,,
DB00107,Oxytocin,"approved,vet_approved",7375,46506775,D00089,PA450760,,DAP001156,Oxytocin,CHEMBL395429,7824,,C00746,,,,,2174,2174,,
DB00108,Natalizumab,"approved,investigational",12577,46505849,,PA164747191,,DAP001094,Natalizumab,CHEMBL1201607,354770,,,,,,,,,,
DB00109,Enfuvirtide,"approved,investigational",13031,46506067,,PA164744517,Q70626,DAP000157,Enfuvirtide,CHEMBL525076,139896,U12055,,,,16743716,50271301,,,,
DB00110,Palivizumab,"approved,investigational",12770,46506637,,PA164748781,,DAP000386,Palivizumab,CHEMBL1201586,194279,,,,,,,,,,
DB00112,Bevacizumab,"approved,investigational",16200,46504473,,PA130232992,,DAP000393,Bevacizumab,CHEMBL1201583,253337,,,,,,,,,,
DB00114,Pyridoxal phosphate,"approved,investigational,nutraceutical",,46506428,D00006,PA164749650,,DNC001499,Pyridoxal-phosphate,CHEMBL82202,9004,,C00018,18405,1051,1022,50118216,,,PLP,ZINC000001532514
DB00115,Cyanocobalamin,"approved,nutraceutical",4991,46509031,D00166,PA451892,,,Cyanocobalamin,CHEMBL2110563,11248,,C02823,17439,70678590,21864832,,,,CNC,
DB00118,Ademetionine,"approved,investigational,nutraceutical",,46505280,,PA164754994,,,S-Adenosylmethionine,CHEMBL1088977,9504,,C00019,67040,34755,31982,28422,,,SAM,
DB00119,Pyruvic acid,"approved,investigational,nutraceutical",,46505692,,PA164778686,,DAP000543,Pyruvic_acid,CHEMBL1162144,35161,,C00022,32816,1060,1031,19473,,,PYR,ZINC000001532517
DB00120,Phenylalanine,"approved,investigational,nutraceutical",750,46505708,D00021,PA450931,,DAP000807,L-Phenylalanine,CHEMBL301523,8156,,C00079,17295,6140,5910,18073,3313,3313,PHE,ZINC000000105196
DB00121,Biotin,"approved,investigational,nutraceutical",4962,46508694,D00029,PA448625,,,Biotin,CHEMBL857,1588,,C00120,15956,171548,149962,12,,,BTN,ZINC000035024346
DB00122,Choline,"approved,nutraceutical",4949,46508132,D07690,PA448976,,,Choline,CHEMBL920,2449,,C00114,15354,305,299,50026220,,,CHT,ZINC000003079337
DB00123,L-Lysine,"approved,nutraceutical",2396,46504770,D02304,PA450280,,,L-Lysine,CHEMBL8085,6536,,C00047,18019,5962,5747,217367,,,LYS,ZINC000001532522
DB00126,Ascorbic acid,"approved,nutraceutical",645,46505070,D00018,PA451898,,DNC000259,Vitamin_C,CHEMBL196,1151,,C00072,29073,54670067,10189562,50090256,,,ASC,ZINC000100006770
DB00128,Aspartic acid,"approved,nutraceutical",9397,46507997,D00013,PA448494,,,L-Aspartic_Acid,CHEMBL274323,1169,,C00049,17053,5960,5745,18125,3309,3309,IAS,ZINC000000895032
DB00129,Ornithine,"approved,nutraceutical",11709,46505239,,PA164783814,,,Ornithine,CHEMBL446143,7704,,C00077,15729,6262,6026,,725,725,ORN,ZINC000001532530
DB00130,L-Glutamine,"approved,investigational,nutraceutical",,46505866,D00015,PA10090,,,Glutamine,CHEMBL930,4885,,C00064,58359,5961,5746,18121,723,723,GLN,ZINC000001532526
DB00131,Adenosine phosphate,"approved,investigational,nutraceutical",,46507628,D02769,PA164744376,,DAP001319,Adenosine_monophosphate,CHEMBL752,309,,C00020,16027,6083,5858,18137,,,AMP,ZINC000003860156
DB00132,alpha-Linolenic acid,"approved,investigational,nutraceutical",1351,46507620,,PA449384,,,Alpha-Linolenic_acid,CHEMBL8739,52071,,C06427,27432,5280934,4444437,50240347,1049,1049,LNL,ZINC000003802189
DB00134,Methionine,"approved,nutraceutical",7217,46505750,D00019,PA450423,,,Methionine,CHEMBL42336,6837,,C00073,16643,6137,5907,50142500,,,MET,ZINC000001532529
DB00135,Tyrosine,"approved,investigational,nutraceutical",9750,46507885,D00022,PA451822,,DAP000808,Tyrosine,CHEMBL925,10962,,C00082,58315,6057,5833,18129,,,TYR,ZINC000000266964
DB00136,Calcitriol,"approved,nutraceutical",4893,46508162,D00129,PA448717,,DAP000289,Calcitriol,CHEMBL846,1894,,C01673,17823,5280453,4444108,50200182,2779,2779,VDX,ZINC000100015048
DB00137,Lutein,"approved,investigational,nutraceutical",,46508835,,PA164748318,,,Xanthophyll,CHEMBL173929,11359,,C08601,28838,5281243,4444655,,,,LUT,ZINC000008221225
DB00138,Cystine,"approved,nutraceutical",9749,46506670,D03636,PA449176,,,Cystine,CHEMBL590540,3036,,C00491,16283,67678,60997,,,,,ZINC000001532673
DB00139,Succinic acid,"approved,nutraceutical",,46505859,,PA164747739,,DAP000545,Succinate,CHEMBL576,37255,,C00042,15741,1110,1078,26121,,,SIN,ZINC000000895030
DB00140,Riboflavin,"approved,investigational,nutraceutical,vet_approved",5015,46507342,D00050,PA451242,,,Riboflavin,CHEMBL1534,9346,,C00255,17015,493570,431981,50362895,,,RBF,ZINC000002036848
DB00141,N-Acetylglucosamine,"approved,investigational,nutraceutical",,46509139,,PA164752287,,DAP000872,N-Acetylglucosamine,CHEMBL447878,1362871,,C00140,17411,1738118,1376695,50223349,,,NAG,ZINC000002077807
DB00142,Glutamic acid,"approved,nutraceutical",14451,46505816,D00007,PA449776,,DAP000015,L-Glutamic_Acid,CHEMBL575060,25916,,C00025,16015,33032,30572,17657,1369,1369,GGL,ZINC000001482113
DB00143,Glutathione,"approved,investigational,nutraceutical",1951,46504598,D00014,PA449780,,,Glutathione,CHEMBL1543,4890,,C02471,16856,124886,111188,50422268,,,GSH,ZINC000003830891
DB00144,Phosphatidyl serine,"approved,investigational,nutraceutical",,46505650,,PA164768860,,,Phosphatidylserine,,89959,,,18303,6323481,13628254,,3638,3638,PSF,ZINC000012484909
DB00145,Glycine,"approved,nutraceutical,vet_approved",8865,46508219,D00011,PA449789,,DAP000288,Glycine,CHEMBL773,4919,,C00037,15428,750,730,18133,727,727,GLY,ZINC000004658552
DB00146,Calcifediol,"approved,nutraceutical",22965,46505690,,PA164745614,,DAP000290,Calcidiol,CHEMBL1040,1855064,,C01561,17933,5283731,4446820,,,,VDY,ZINC000004474414
DB00148,Creatine,"approved,investigational,nutraceutical",,46504868,,PA164778930,,,Creatine,CHEMBL283800,2907,,C00300,16919,586,566,50357229,,,CRN,ZINC000003861770
DB00151,Cysteine,"approved,nutraceutical",5416,46506553,D00026,PA449173,,,L-Cysteine,CHEMBL863,3024,,C00097,17561,5862,5653,50109609,,,CYS,ZINC000000895042
DB00152,Thiamine,"approved,investigational,nutraceutical,vet_approved",5038,46507321,D08580,PA451652,,DAP000870,Thiamine,CHEMBL1547,10454,,C00378,18385,1130,1098,50373877,,,VIB,ZINC000000049153
DB00153,Ergocalciferol,"approved,nutraceutical",703,46505053,D00187,PA449484,,DAP000291,Ergocalciferol,CHEMBL1536,4018,,C05441,28934,5280793,4444351,,,,D2V,ZINC000004629876
DB00155,Citrulline,"approved,investigational,nutraceutical",,46506583,D07706,PA164747225,,,Citrulline,CHEMBL444814,2567,,C00327,16349,9750,9367,92903,722,722,CIR,ZINC000001532614
DB00156,Threonine,"approved,nutraceutical",10243,46506798,D00041,PA451673,,,L-Threonine,CHEMBL291747,10524,,C00188,16857,6288,6051,,,,THR,ZINC000000895103
DB00157,NADH,"approved,nutraceutical",,46504879,,PA164755085,,DAP001291,Nicotinamide_adenine_dinucleotide,,7222,,C00004,16908,439153,388299,,,,NAI,ZINC000008215403
DB00158,Folic acid,"approved,nutraceutical,vet_approved",4991,46508092,D00070,PA449692,,DAP001309,Folic_Acid,CHEMBL1622,4511,,C00504,27470,6037,5815,50237629,,,FOL,ZINC000008577218
DB00159,Icosapent,"approved,nutraceutical",1798,46506267,D08061,PA164746077,,DAP000969,Eicosapentaenoic_acid,CHEMBL460026,90,,C06428,28364,446284,393682,50242349,3362,3362,EPA,ZINC000004474603
DB00161,Valine,"approved,nutraceutical",9928,46504886,D00039,PA451843,,,L-Valine,CHEMBL43068,11115,,C00183,16414,6287,6050,,,,VAL,ZINC000000895099
DB00162,Vitamin A,"approved,nutraceutical,vet_approved",230,46508191,D00069,PA451884,,DNC001498,Vitamin_A,CHEMBL986,11246,,C17276,17336,445354,393012,50092056,,,RTL,ZINC000003831417
DB00163,Vitamin E,"approved,nutraceutical,vet_approved",4931,46506524,,PA451900,,,Vitamin_E,CHEMBL47,11256,,C02477,18145,14985,14265,,,,VIV,ZINC000004095858
DB00165,Pyridoxine,"approved,investigational,nutraceutical,vet_approved",11169,46508560,,PA451897,,DAP000869,Pyridoxine,CHEMBL1364,42954,,C00314,16709,1054,1025,50103505,,,UEG,ZINC000000049154
DB00166,Lipoic acid,"approved,investigational,nutraceutical",,46504826,D00086,PA164776929,,,Lipoic_acid,CHEMBL134342,6417,,C16241,30314,6112,5886,50106731,,,LPA,ZINC000001544807
DB00169,Cholecalciferol,"approved,nutraceutical",703,46506365,D00188,PA164748138,,DAP001273,Cholecalciferol,CHEMBL1042,1244014,,C05443,28940,5280795,4444353,50030475,,,VD3,ZINC000004474460
DB00170,Menadione,"approved,nutraceutical",4913,46505447,D02335,PA450358,,DNC001501,Menadione,CHEMBL590,6728,,C05377,28869,4055,3915,24778,2771,2771,VK3,ZINC000000001677
DB00173,Adenine,"approved,nutraceutical",5028,46507319,D00034,PA448048,,DAP000982,Adenine,CHEMBL226345,290,,C00147,16708,190,185,181146,,,ADE,ZINC000000000882
DB00174,Asparagine,"approved,investigational,nutraceutical",,46507804,,PA164776968,,,Asparagine,CHEMBL58832,1157,,C00152,58048,6267,6031,181137,,,41Q,ZINC000001532556
DB00175,Pravastatin,approved,1201,46504851,D08410,PA451089,,DAP000550,Pravastatin,CHEMBL1144,42463,,C01844,63618,54687,49398,20688,,,,ZINC000003798763
DB00176,Fluvoxamine,"approved,investigational",1212,46507588,,PA449690,,DNC000897,Fluvoxamine,CHEMBL814,42355,,C07571,5138,3404,4481878,50028091,,,FVX,ZINC000003872605
DB00177,Valsartan,"approved,investigational",11702,46509000,D00400,PA451848,,DAP000363,Valsartan,CHEMBL1069,69749,,,9927,60846,54833,50049186,3937,3937,,ZINC000003875259
DB00178,Ramipril,approved,932,46506390,D00421,PA451223,,DAP000581,Ramipril,CHEMBL1168,35296,,,8774,5362129,4514937,50084681,,,,ZINC000003798757
DB00179,Masoprocol,"approved,investigational",,46508042,D04862,PA164746493,,DNC001037,Masoprocol,CHEMBL313972,227239,,C10719,73468,71398,64490,22372,4265,4265,,ZINC000000012342
DB00180,Flunisolide,"approved,investigational",2133,46507894,,PA449661,,DAP001046,Flunisolide,CHEMBL1512,1546428,,C07005,5106,82153,74144,,,,,ZINC000004097305
DB00181,Baclofen,approved,2104,46508181,D00241,PA448533,,DAP000257,Baclofen,CHEMBL701,1292,,,2972,2284,2197,24182,1084,1084,,
DB00182,Amphetamine,"approved,illicit,investigational",22635,46506414,D07445,PA448408,,DAP001146,Amphetamine,CHEMBL405,725,,C07514,132233,3007,13852819,50005246,2147,2147,,
DB00183,Pentagastrin,approved,2659,46507747,D01631,PA450849,,DNC001170,Pentagastrin,CHEMBL1328,7993,,,31974,9853654,8029364,50024321,870,870,,ZINC000008214644
DB00184,Nicotine,approved,4365,46506924,D03365,PA450626,,DAP000175,Nicotine,CHEMBL3,31765,,C00745,17688,89594,80863,82070,,,NCT,ZINC000000391812
DB00185,Cevimeline,approved,,46507202,D00661,PA164754754,,DAP000075,Cevimeline,,44281,,,3568,25137844,21864737,,,,,
DB00186,Lorazepam,approved,2300,46508468,D00365,PA450267,,DAP000237,Lorazepam,CHEMBL580,6470,,,6539,3958,3821,50292627,,,,
DB00187,Esmolol,approved,20260,46506146,D07916,PA449500,,DAP000304,Esmolol,CHEMBL768,49737,,C06980,88206,59768,53916,50404796,,,,
DB00188,Bortezomib,"approved,investigational",13053,46508736,D03150,PA10252,,DAP001318,Bortezomib,CHEMBL325041,358258,,,52717,387447,343402,50069989,,,BO2,ZINC000169746649
DB00190,Carbidopa,approved,2370,46508775,D00558,PA448794,,DAP000592,Carbidopa,CHEMBL1201236,2019,,,39585,34359,31640,50418773,,,142,ZINC000019168887
DB00191,Phentermine,"approved,illicit",8289,46508515,D05458,PA164748099,,DAP000719,Phentermine,CHEMBL1574,221138,,C07438,8080,4771,4607,50246598,,,,ZINC000008403947
DB00192,Indecainide,approved,,46506714,,PA164754881,,DAP000503,Indecainide,CHEMBL1201242,,,,135314,52195,47194,,,,,ZINC000001855421
DB00193,Tramadol,"approved,investigational",13904,46506256,D08623,PA451735,,DAP000140,Tramadol,CHEMBL1066,10689,,C07153,75725,33741,31105,50176259,,,,ZINC000000000853
DB00194,Vidarabine,"approved,investigational",,46506630,D00406,PA451876,,DAP000642,Vidarabine,CHEMBL1090,11194,,C07195,45327,21704,20400,50144936,,,RAB,ZINC000000970363
DB00195,Betaxolol,"approved,investigational",11219,46506041,,PA448611,,DAP000305,Betaxolol,CHEMBL423,1520,,C06849,3082,2369,2279,50405521,549,549,,
DB00196,Fluconazole,"approved,investigational",1204,46505735,D00322,PA449653,,DAP000628,Fluconazole,CHEMBL106,4450,,,46081,3365,3248,25817,,,TPF,ZINC000000004009
DB00198,Oseltamivir,approved,11956,46507602,D00900,PA450721,,DAP000714,Oseltamivir,CHEMBL1229,260101,,C08092,7798,65028,58540,5025,,,,ZINC000003929508
