DRUGBANK,name,groups
DB00043,Omalizumab,"approved,investigational"
DB00180,Flunisolide,"approved,investigational"
DB00277,Theophylline,approved
DB00443,Betamethasone,"approved,vet_approved"
DB00368,Norepinephrine,approved
DB00394,Beclomethasone dipropionate,"approved,investigational"
DB08906,Fluticasone furoate,approved
DB00635,Prednisone,"approved,vet_approved"
DB00651,Dyphylline,approved
DB00668,Epinephrine,"approved,vet_approved"
DB00549,Zafirlukast,"approved,investigational"
DB01380,Cortisone acetate,"approved,investigational"
DB00716,Nedocromil,"approved,investigational"
DB00741,Hydrocortisone,"approved,vet_approved"
DB00764,Mometasone,"approved,vet_approved"
DB00860,Prednisolone,"approved,vet_approved"
DB00871,Terbutaline,approved
DB00885,Pemirolast,"approved,investigational"
DB00959,Methylprednisolone,"approved,vet_approved"
DB00816,Orciprenaline,approved
DB01003,Cromoglicic acid,approved
DB01409,Tiotropium,approved
DB01410,Ciclesonide,"approved,investigational"
DB01222,Budesonide,approved
DB01223,Aminophylline,approved
DB01234,Dexamethasone,"approved,investigational,vet_approved"
DB01260,Desonide,"approved,investigational"
DB01291,Pirbuterol,approved
DB09082,Vilanterol,approved
DB00612,Bisoprolol,approved
DB00983,Formoterol,"approved,investigational"
DB00938,Salmeterol,approved
DB00295,Morphine,"approved,investigational"
DB08897,Aclidinium,approved
DB09076,Umeclidinium,approved
DB09080,Olodaterol,approved
DB00986,Glycopyrronium,"approved,investigational,vet_approved"
DB01430,Almitrine,approved
DB01274,Arformoterol,"approved,investigational"
DB00787,Acyclovir,approved
DB00577,Valaciclovir,"approved,investigational"
DB01001,Salbutamol,"approved,vet_approved"
DB06415,Calfactant,approved
DB00537,Ciprofloxacin,"approved,investigational"
DB01190,Clindamycin,"approved,vet_approved"
DB00608,Chloroquine,"approved,investigational,vet_approved"
DB00358,Mefloquine,"approved,investigational"
DB00205,Pyrimethamine,"approved,investigational,vet_approved"
DB00684,Tobramycin,"approved,investigational"
DB00760,Meropenem,"approved,investigational"
DB00415,Ampicillin,"approved,vet_approved"
DB00438,Ceftazidime,approved
DB00199,Erythromycin,"approved,investigational,vet_approved"
DB00207,Azithromycin,approved
DB00218,Moxifloxacin,"approved,investigational"
DB00254,Doxycycline,"approved,investigational,vet_approved"
DB00303,Ertapenem,"approved,investigational"
DB00479,Amikacin,"approved,investigational,vet_approved"
DB00319,Piperacillin,approved
DB00493,Cefotaxime,approved
DB01331,Cefoxitin,approved
DB01066,Cefditoren,"approved,investigational"
DB00766,Clavulanic acid,"approved,vet_approved"
DB00798,Gentamicin,"approved,vet_approved"
DB01112,Cefuroxime,approved
DB01137,Levofloxacin,"approved,investigational"
DB01155,Gemifloxacin,"approved,investigational"
DB01044,Gatifloxacin,"approved,investigational"
DB01060,Amoxicillin,"approved,vet_approved"
DB01172,Kanamycin,"approved,investigational,vet_approved"
DB01211,Clarithromycin,approved
DB01413,Cefepime,"approved,investigational"
DB01416,Cefpodoxime,"approved,vet_approved"
DB01597,Cilastatin,"approved,investigational"
DB01212,Ceftriaxone,approved
DB01598,Imipenem,approved
DB01606,Tazobactam,approved
DB01607,Ticarcillin,"approved,investigational,vet_approved"
DB01327,Cefazolin,approved
DB01330,Cefotetan,approved
DB06402,Telavancin,approved
DB00198,Oseltamivir,approved
DB00558,Zanamivir,"approved,investigational"
DB03843,Formaldehyde,"approved,vet_approved"
DB06614,Peramivir,"approved,investigational"
DB00864,Tacrolimus,"approved,investigational"
DB00877,Sirolimus,"approved,investigational"
DB01590,Everolimus,approved
DB00419,Miglustat,approved
DB00053,Imiglucerase,approved
DB09039,Eliglustat,approved
DB06720,Velaglucerase alfa,"approved,investigational"
DB00678,Losartan,approved
DB01029,Irbesartan,"approved,investigational"
DB01197,Captopril,approved
DB00110,Palivizumab,"approved,investigational"
DB00811,Ribavirin,approved
